Date,Price,Open,High,Low,Vol.,Change %,Return,MA10,MA20,MA50,MA200,Volatility20,Price_lag1,Price_lag5,RSI,MACD,Signal,Year,Month,DayOfWeek
2021-10-08,139.79,139.58,140.33,139.22,26530000.0,0.004,0.004022121669180478,136.774,139.14550000000003,139.3288,117.17025,0.014848586608164427,139.23,136.54,52.23943072415236,-0.6847696608658964,-0.6142007973605053,2021,10,Friday
2021-10-11,138.91,139.29,140.71,138.86,17950000.0,-0.0062,-0.006295157021246167,136.558,138.97449999999998,139.4124,117.43275,0.014689215022228128,139.79,133.66,49.75470155355682,-0.5625907655670801,-0.6038787910018203,2021,10,Monday
2021-10-12,136.45,139.48,139.51,135.76,36330000.0,-0.0177,-0.017709308185155925,136.61999999999998,138.67,139.4444,117.68145,0.01513110575021867,138.91,136.02,42.53992987923644,-0.6566945853122661,-0.6144419498639095,2021,10,Tuesday
2021-10-13,137.58,137.4,138.0,136.52,19660000.0,0.0083,0.008281421766214825,136.943,138.32750000000001,139.4834,117.92585,0.01490489998258126,136.45,137.57,42.96210363495749,-0.6327965000947984,-0.6181128599100874,2021,10,Wednesday
2021-10-14,141.15,139.47,141.34,138.82,31930000.0,0.0259,0.025948539031835915,137.69,138.2045,139.60379999999998,118.19215,0.016155180460850405,137.58,139.23,48.136427566807306,-0.3220752481427098,-0.5589053375566119,2021,10,Thursday
2021-10-15,141.37,141.61,141.72,140.76,30270000.0,0.0015,0.0015586255756288026,138.173,138.233,139.7062,118.46495,0.015538204562042681,141.15,139.79,50.5450581395349,-0.05741244107892385,-0.45860675826107433,2021,10,Friday
2021-10-18,142.78,141.08,142.8,141.07,20400000.0,0.01,0.009973827544740743,139.085,138.43599999999998,139.847,118.7407,0.01525605726859371,141.37,138.91,64.66863655550864,0.26307736435370543,-0.3142699337381184,2021,10,Monday
2021-10-19,143.24,143.39,143.66,142.6,20160000.0,0.0032,0.003221739739459384,139.807,138.6465,139.9736,119.02535,0.015259968856944556,142.78,136.45,69.60741067490079,0.5478704898140165,-0.14184184902769142,2021,10,Tuesday
2021-10-20,141.77,143.34,143.55,141.38,23290000.0,-0.0102,-0.010262496509354957,140.227,138.721,140.0728,119.2992,0.015376298096386172,143.24,137.58,67.23476778866639,0.6474905113021237,0.016024623038271596,2021,10,Wednesday
2021-10-21,141.89,141.77,142.16,140.5,26290000.0,0.0008,0.0008464414191999836,140.493,138.7545,140.185,119.57795,0.015310455115626244,141.77,141.15,62.90400385914133,0.7277342260144053,0.15836654363349834,2021,10,Thursday
2021-10-22,137.57,139.15,140.58,136.06,50590000.0,-0.0304,-0.030446120233984075,140.27100000000002,138.5225,140.1926,119.8222,0.01668213562453949,141.89,141.37,58.81822282363554,0.4376945811193025,0.2142321511306592,2021,10,Friday
2021-10-25,137.45,137.55,138.0,135.42,34410000.0,-0.0009,-0.0008722832012794113,140.125,138.3415,140.187,120.06,0.016612146609236163,137.57,142.78,53.58755644756644,0.19589492108903528,0.2105647051223344,2021,10,Monday
2021-10-26,139.31,139.26,140.08,138.3,49240000.0,0.013500000000000002,0.01353219352491819,140.411,138.5155,140.207,120.3175,0.014575700764718477,137.45,143.24,54.298418972332044,0.15259439062555202,0.19897064222297794,2021,10,Tuesday
2021-10-27,146.22,139.4,148.65,139.4,85780000.0,0.0496,0.049601607924772084,141.275,139.109,140.3982,120.61425,0.01781452308545332,139.31,141.77,63.71125931737937,0.6681555774062815,0.29280762925963866,2021,10,Wednesday
